Date,AAPL,AMZN,FB,GOOG,MSFT
2017/7/3,142.93869,953.659973,148.429993,898.700012,67.808723
2017/6/30,143.45665,968,150.979996,908.72998,68.564697
2017/6/29,143.117966,975.929993,151.039993,917.789978,68.127029
2017/6/28,145.259567,990.330017,153.240005,940.48999,69.430092
2017/6/27,143.167786,976.780029,150.580002,927.330017,68.843208
2017/6/26,145.249619,993.97998,153.589996,952.27002,70.156219
2017/6/23,145.707809,1003.73999,155.070007,965.590027,70.832611
2017/6/22,145.060364,1001.299988,153.399994,957.090027,69.88765
2017/6/21,145.299408,1002.22998,153.910004,959.450012,69.897591
2017/6/20,144.442764,992.590027,152.25,950.630005,69.539505
2017/6/19,145.767578,995.169983,152.869995,957.369995,70.494415
2017/6/16,141.713501,987.710022,150.639999,939.780029,69.629028
2017/6/15,143.725586,964.169983,149.800003,942.309998,69.529556
2017/6/14,144.592194,976.469971,150.25,950.76001,69.897591
2017/6/13,146.016586,980.789978,150.679993,953.400024,70.275581
2017/6/12,144.851166,964.909973,148.440002,942.900024,69.410194
2017/6/9,148.397247,978.309998,149.600006,949.830017,69.947327
2017/6/8,154.383743,1010.27002,154.710007,983.409973,71.568687
2017/6/7,154.762253,1010.070007,153.119995,980.940002,72.006363
2017/6/6,153.845856,1003,152.809998,976.570007,72.135666
2017/6/5,153.327881,1011.340027,153.630005,983.679993,71.896942
2017/6/2,154.841934,1006.72998,153.610001,975.599976,71.3797
2017/6/1,152.580811,995.950012,151.529999,966.950012,69.728493
2017/5/31,152.16246,994.619995,151.460007,964.859985,69.469872
2017/5/30,153.068893,996.700012,152.380005,975.880005,70.036858
2017/5/26,153.00914,995.780029,152.130005,971.469971,69.589233
2017/5/25,153.268112,993.380005,151.960007,969.539978,69.251045
2017/5/24,152.740189,980.349976,150.039993,954.960022,68.40554
2017/5/23,153.198395,971.539978,148.070007,948.820007,68.316025
2017/5/22,153.38765,970.669983,148.240005,941.859985,68.087234
2017/5/19,152.461288,959.840027,148.059998,934.01001,67.331268
2017/5/18,151.943314,958.48999,147.660004,930.23999,67.351158
2017/5/17,149.662277,944.76001,144.850006,919.619995,67.122383
2017/5/16,154.861862,966.070007,149.779999,943,69.04216
2017/5/15,155.090958,957.969971,150.190002,937.080017,67.679413
2017/5/12,155.48941,961.349976,150.330002,932.219971,67.629959
2017/5/11,153.347809,947.619995,150.039993,930.599976,67.709076
2017/5/10,152.032974,948.950012,150.289993,928.780029,68.549751
2017/5/9,152.757141,952.820007,150.479996,932.169983,68.282722
2017/5/8,151.784973,949.039978,151.059998,934.299988,68.183823
2017/5/5,147.76741,934.150024,150.240005,927.130005,68.243156
2017/5/4,145.356857,937.530029,150.850006,931.659973,68.055244
2017/5/3,145.882614,941.030029,151.800003,927.039978,68.322281
2017/5/2,146.32901,946.940002,152.779999,916.440002,68.539871
2017/5/1,145.406448,948.22998,152.460007,912.570007,68.648666
2017/4/28,142.499893,924.98999,150.25,905.960022,67.709076
2017/4/27,142.638794,918.380005,147.699997,874.25,67.521164
2017/4/26,142.529663,909.289978,146.559998,871.72998,67.085999
2017/4/25,143.372864,907.619995,146.490005,872.299988,67.175003
2017/4/24,142.48999,907.409973,145.470001,862.76001,66.789284
2017/4/21,141.130966,898.530029,143.679993,843.190002,65.671677
2017/4/20,141.299591,902.059998,143.800003,841.650024,64.781548
2017/4/19,139.553696,899.200012,142.270004,838.210022,64.326599
2017/4/18,140.069519,903.780029,140.960007,836.820007,64.67276
2017/4/17,140.694489,901.98999,141.419998,837.169983,64.761772
2017/4/13,139.920731,884.669983,139.389999,823.559998,64.237579
2017/4/12,140.664734,896.22998,139.580002,824.320007,64.514511
2017/4/11,140.496094,902.359985,139.919998,823.349976,64.761772
2017/4/10,142.023758,907.039978,141.039993,824.72998,64.811218
2017/4/7,142.192398,894.880005,140.779999,824.669983,64.959579
2017/4/6,142.509842,898.280029,141.169998,827.880005,65.009033
2017/4/5,142.866959,909.280029,141.850006,831.409973,64.840889
2017/4/4,143.610962,906.830017,141.729996,834.570007,65.009033
2017/4/3,142.549515,891.51001,142.279999,838.549988,64.831001
2017/3/31,142.509842,886.539978,142.050003,829.559998,65.137604
2017/3/30,142.777664,876.340027,142.410004,831.5,64.98925
2017/3/29,142.966141,874.320007,142.649994,831.409973,64.751884
2017/3/28,142.648712,856,141.759995,820.919983,64.573853
2017/3/27,139.752106,846.820007,140.320007,819.51001,64.385933
2017/3/24,139.514008,845.609985,140.339996,814.429993,64.267258
2017/3/23,139.791763,847.380005,139.529999,817.580017,64.158463
2017/3/22,140.287766,848.059998,139.589996,829.590027,64.316704
2017/3/21,138.720413,843.200012,138.509995,830.460022,63.505699
2017/3/20,140.327454,856.969971,139.940002,848.400024,64.217804
2017/3/17,138.869217,852.309998,139.839996,852.119995,64.158463
2017/3/16,139.563614,853.419983,139.990005,848.780029,63.930984
2017/3/15,139.335464,852.969971,139.720001,847.200012,64.03978
2017/3/14,137.877228,852.530029,139.320007,845.619995,63.70351
2017/3/13,138.085541,854.590027,139.600006,845.539978,64.000214
2017/3/10,138.026016,852.460022,138.789993,843.25,64.217804
2017/3/9,137.569687,853,138.240005,838.679993,64.020004
2017/3/8,137.887146,850.5,137.720001,835.369995,64.277138
2017/3/7,138.402985,846.02002,137.300003,831.909973,63.693615
2017/3/6,138.224426,846.609985,137.419998,827.780029,63.565041
2017/3/3,138.660889,849.880005,137.169998,829.080017,63.545258
2017/3/2,137.847473,848.909973,136.759995,830.630005,63.307896
2017/3/1,138.670807,853.080017,137.419998,835.23999,64.227699
2017/2/28,135.89325,845.039978,135.539993,823.210022,63.278221
2017/2/27,135.83371,848.640015,136.410004,829.280029,63.525482
2017/2/24,135.565887,845.23999,135.440002,828.640015,63.911205
2017/2/23,135.43692,852.190002,135.360001,831.330017,63.911205
2017/2/22,136.012268,855.609985,136.119995,830.76001,63.654053
2017/2/21,135.60556,856.440002,133.720001,831.659973,63.782627
2017/2/17,134.633408,845.070007,133.529999,828.070007,63.911205
2017/2/16,134.266357,844.140015,133.839996,824.159973,63.812298
2017/2/15,134.425079,842.700012,133.440002,818.97998,63.822189
2017/2/14,133.939011,836.390015,133.850006,820.450012,63.861748
2017/2/13,132.222839,836.530029,134.050003,819.23999,63.624386
2017/2/10,131.062225,827.460022,134.190002,813.669983,62.916569
2017/2/9,131.359818,821.359985,134.139999,809.559998,62.975552
2017/2/8,130.417435,819.710022,134.199997,808.380005,62.267746
2017/2/7,129.913696,812.5,131.839996,806.969971,62.35622
2017/2/6,128.688934,807.640015,132.059998,801.340027,62.562668
2017/2/3,127.493805,810.200012,130.979996,801.48999,62.601986
2017/2/2,126.950554,839.950012,130.839996,798.530029,62.10062
2017/2/1,127.167854,832.349976,133.229996,795.695007,62.503681
2017/1/31,119.858795,823.47998,130.320007,796.789978,63.555569
2017/1/30,120.135345,830.380005,130.979996,802.320007,64.027435
2017/1/27,120.451416,835.77002,132.179993,823.309998,64.666435
2017/1/26,120.441551,839.150024,132.779999,832.150024,63.181995
2017/1/25,120.382278,836.52002,131.479996,835.669983,62.601986
2017/1/24,118.495758,822.440002,129.369995,823.869995,62.444698
2017/1/23,118.604401,817.880005,128.929993,819.309998,61.894176
2017/1/20,118.525383,808.330017,127.040001,805.02002,61.677898
2017/1/19,118.308083,809.039978,127.550003,802.174988,61.24535
2017/1/18,118.515503,807.47998,127.919998,806.070007,61.441967
2017/1/17,118.525383,809.719971,127.870003,804.609985,61.471455
2017/1/13,117.577179,817.140015,128.339996,807.880005,61.63858
2017/1/12,117.784599,813.640015,126.620003,806.359985,61.550102
2017/1/11,118.278458,799.02002,126.089996,807.909973,62.120285
2017/1/10,117.646317,795.900024,124.349998,804.789978,61.559933
2017/1/9,117.527794,796.919983,124.900002,806.650024,61.579594
2017/1/6,116.461075,795.98999,123.410004,806.150024,61.776207
2017/1/5,115.17704,780.450012,120.669998,794.02002,61.24535
2017/1/4,114.594292,757.179993,118.690002,786.900024,61.24535
2017/1/3,114.722694,753.669983,116.860001,786.140015,61.520611
2016/12/30,114.396751,749.869995,115.050003,771.820007,61.088055
2016/12/29,115.29557,765.150024,116.349998,782.789978,61.835197
2016/12/28,115.325203,772.130005,116.919998,785.049988,61.923668
2016/12/27,115.819054,771.400024,118.010002,791.549988,62.208755
2016/12/23,115.088142,760.590027,117.269997,789.909973,62.169441
2016/12/22,114.860977,766.340027,117.400002,791.26001,62.474186
2016/12/21,115.621513,770.599976,119.040001,794.559998,62.464359
2016/12/20,115.512863,771.219971,119.089996,796.419983,62.464359
2016/12/19,115.206673,766,119.239998,794.200012,62.543003
2016/12/16,114.544907,757.77002,119.870003,790.799988,61.24535
2016/12/15,114.396751,761,120.57,797.849976,61.520611
2016/12/14,113.77449,768.820007,120.209999,797.070007,61.618916
2016/12/13,113.77449,774.340027,120.309998,796.099976,61.913837
2016/12/12,111.907722,760.119995,117.769997,789.27002,61.11755
2016/12/9,112.549728,768.659973,119.68,789.289978,60.92094
2016/12/8,110.742218,767.330017,118.910004,776.419983,59.977184
2016/12/7,109.665604,770.419983,117.949997,771.190002,60.331097
2016/12/6,108.598877,764.719971,117.309998,759.109985,58.935135
2016/12/5,107.769203,759.359985,117.43,762.52002,59.200565
2016/12/2,108.5495,740.340027,115.400002,750.5,58.246979
2016/12/1,108.144531,743.650024,115.099998,747.919983,58.197826
2016/11/30,109.16188,750.570007,118.419998,758.039978,59.239883
2016/11/29,110.090332,762.52002,120.870003,770.840027,60.055836
2016/11/28,110.198975,766.77002,120.410004,768.23999,59.583958
2016/11/25,110.416275,780.369995,120.379997,761.679993,59.50531
2016/11/23,109.863159,780.119995,120.839996,760.98999,59.377514
2016/11/22,110.426147,785.330017,121.470001,768.27002,60.085323
2016/11/21,110.35701,780,121.769997,769.200012,59.829727
2016/11/18,108.707527,760.159973,117.019997,760.539978,59.328362
2016/11/17,108.598877,756.400024,117.790001,771.22998,59.613453
2016/11/16,108.638382,746.48999,116.339996,764.47998,58.640213
2016/11/15,105.793777,743.23999,117.199997,758.48999,57.873413
2016/11/14,104.41098,719.070007,115.080002,736.080017,56.752712
2016/11/11,107.097557,739.01001,119.019997,754.02002,57.631542
2016/11/10,106.465424,742.380005,120.800003,762.559998,57.319069
2016/11/9,109.517456,771.880005,123.18,785.309998,58.754486
2016/11/8,109.695236,787.75,124.220001,790.51001,59.047428
2016/11/7,109.053238,784.929993,122.150002,782.52002,58.998608
2016/11/4,107.502518,755.049988,120.75,762.02002,57.328835
2016/11/3,108.480354,767.030029,120,762.130005,57.81707
2016/11/2,109.655731,765.559998,127.169998,768.700012,58.031898
2016/11/1,109.557465,785.409973,129.5,783.609985,58.393192
2016/10/31,111.57193,789.820007,130.990005,784.539978,58.510365
2016/10/28,111.748817,776.320007,131.289993,795.369995,58.461548
2016/10/27,112.495644,818.359985,129.690002,795.349976,58.686134
2016/10/26,113.586395,822.590027,131.039993,799.070007,59.203667
2016/10/25,116.200294,835.179993,132.289993,807.669983,59.555199
2016/10/24,115.61068,838.090027,133.279999,813.109985,59.564964
2016/10/21,114.57888,818.98999,132.070007,799.369995,58.256485
2016/10/20,115.030914,810.320007,130,796.969971,55.903187
2016/10/19,115.089874,817.690002,130.110001,801.5,56.176594
2016/10/18,115.433815,817.650024,128.570007,795.26001,56.303535
2016/10/17,115.512428,812.950012,127.540001,779.960022,55.87389
2016/10/14,115.591034,822.960022,127.879997,778.530029,56.069183
2016/10/13,114.952301,829.280029,127.82,778.190002,55.58094
2016/10/12,115.306061,834.090027,129.050003,786.140015,55.766476
2016/10/11,114.284088,831,128.880005,783.070007,55.844593
2016/10/10,114.038429,841.710022,130.240005,785.940002,56.674595
2016/10/7,112.082916,839.429993,128.990005,775.080017,56.440243
2016/10/6,111.915863,841.659973,128.740005,776.859985,56.38166
2016/10/5,111.090431,844.359985,128.470001,776.469971,56.284008
2016/10/4,111.04129,834.030029,128.190002,776.429993,55.893414
2016/10/3,110.569603,836.73999,128.770004,772.559998,56.069183
2016/9/30,111.090431,837.309998,128.270004,777.289978,56.244946
2016/9/29,110.235504,829.049988,128.089996,775.01001,56.049652
2016/9/28,111.974823,828.719971,129.229996,781.559998,56.664833
2016/9/27,111.129723,816.109985,128.690002,783.01001,56.586712
2016/9/26,110.923363,799.159973,127.309998,774.210022,55.561417
2016/9/23,110.756317,805.75,127.959999,786.900024,56.078945
2016/9/22,112.633217,804.700012,130.080002,787.210022,56.45977
2016/9/21,111.581757,789.73999,129.940002,776.219971,56.401176
2016/9/20,111.60141,780.219971,128.639999,771.409973,55.473537
2016/9/19,111.611237,775.099976,128.649994,765.700012,55.59071
2016/9/16,112.928009,778.52002,129.070007,768.880005,55.903187
2016/9/15,113.566742,769.690002,128.350006,771.76001,55.844593
2016/9/14,109.832603,761.090027,127.769997,762.48999,54.93647
2016/9/13,106.078827,761.01001,127.209999,759.690002,55.200119
2016/9/12,103.612335,771.48999,128.690002,769.02002,55.707886
2016/9/9,101.342369,760.140015,127.099998,759.659973,54.887646
2016/9/8,103.690956,784.059998,130.270004,775.320007,56.078945
2016/9/7,106.48172,784.47998,131.050003,780.349976,56.303535
2016/9/6,105.833153,788.869995,129.729996,780.080017,56.254715
2016/9/2,105.862648,772.440002,126.510002,771.460022,56.313301
2016/9/1,104.879982,770.619995,126.169998,768.780029,56.23518
2016/8/31,104.260887,769.159973,126.120003,767.049988,56.108238
2016/8/30,104.162621,767.580017,125.839996,769.090027,56.528126
2016/8/29,104.968414,771.289978,126.540001,772.150024,56.733185
2016/8/26,105.086334,769,124.959999,769.539978,56.664833
2016/8/25,105.705414,759.219971,123.889999,769.409973,56.801537
2016/8/24,106.15744,757.25,123.480003,769.640015,56.586712
2016/8/23,106.963219,762.450012,124.370003,772.080017,56.528126
2016/8/22,106.62912,759.47998,124.150002,772.150024,56.313301
2016/8/19,107.464386,757.309998,123.559998,775.419983,56.264477
2016/8/18,107.189247,764.460022,123.910004,777.5,56.244946
2016/8/17,107.32682,764.630005,124.370003,779.909973,56.205887
2016/8/16,107.484032,764.039978,123.300003,777.140015,56.088711
2016/8/15,107.582306,768.48999,123.900002,782.440002,56.40118
2016/8/12,106.30484,772.559998,124.879997,783.219971,56.226505
2016/8/11,106.059174,771.23999,124.900002,784.849976,56.575859
2016/8/10,106.12796,768.559998,124.879997,784.679993,56.304142
2016/8/9,106.92392,768.309998,125.059998,784.26001,56.478825
2016/8/8,106.491547,766.559998,125.260002,781.76001,56.34296
2016/8/5,105.616966,765.97998,125.150002,782.219971,56.245914
2016/8/4,104.034889,760.77002,124.360001,771.609985,55.692776
2016/8/3,103.396149,754.640015,122.510002,773.179993,55.285198
2016/8/2,102.115791,760.580017,123.089996,771.070007,54.906734
2016/8/1,103.650261,767.73999,124.309998,772.880005,54.906734
2016/7/29,101.851898,758.809998,123.940002,768.789978,55.003773
2016/7/28,101.978951,752.609985,125,745.909973,54.547668
2016/7/27,100.620415,736.669983,123.339996,741.77002,54.528259
2016/7/26,94.482521,735.590027,121.220001,738.419983,55.081406
2016/7/25,95.137352,739.609985,121.629997,739.77002,55.052292
2016/7/22,96.42749,744.859985,121,742.73999,54.897022
2016/7/21,97.180069,744.429993,120.610001,738.630005,54.149796
2016/7/20,97.698074,745.719971,121.919998,741.190002,54.256546
2016/7/19,97.610107,739.950012,120.610001,736.960022,51.519943
2016/7/18,97.571014,736.070007,119.370003,733.780029,52.364212
2016/7/15,96.544777,735.440002,116.860001,719.849976,52.1119
2016/7/14,96.554558,741.200012,117.290001,720.950012,52.150719
2016/7/13,94.678001,742.630005,116.779999,716.97998,51.927517
2016/7/12,95.215546,748.210022,117.93,720.640015,51.636391
2016/7/11,94.7855,753.780029,117.870003,715.090027,51.034729
2016/7/8,94.492294,745.809998,117.239998,705.630005,50.753307
2016/7/7,93.769043,736.570007,115.849998,695.359985,49.860512
2016/7/6,93.368317,737.609985,116.699997,697.77002,49.860512
2016/7/5,92.840523,728.099976,114.199997,694.950012,49.656723
2016/7/1,93.720169,725.679993,114.190002,699.210022,49.647018
2016/6/30,93.436729,715.619995,114.279999,692.099976,49.656723
2016/6/29,92.263885,715.599976,114.160004,684.109985,49.045349
2016/6/28,91.472214,707.950012,112.699997,680.039978,47.977886
2016/6/27,89.957291,691.359985,108.970001,668.26001,46.997757
2016/6/24,91.286514,698.960022,112.080002,675.219971,48.35635
2016/6/23,93.925415,722.080017,115.080002,701.869995,50.374836
2016/6/22,93.387871,710.599976,113.910004,697.460022,49.482048
2016/6/21,93.739723,715.820007,114.379997,695.940002,49.676128
2016/6/20,92.948044,714.01001,113.370003,693.710022,48.589252
2016/6/17,93.172836,706.390015,113.019997,691.719971,48.64748
2016/6/16,95.342613,717.51001,114.389999,710.359985,48.899788
2016/6/15,94.941887,714.26001,114.599998,718.919983,48.22049
2016/6/14,95.254646,719.299988,114.940002,718.27002,48.35635
2016/6/13,95.137352,715.23999,113.949997,718.359985,48.657181
2016/6/10,96.593636,717.909973,116.620003,719.409973,49.957554
2016/6/9,97.395081,727.650024,118.559998,728.580017,50.09341
2016/6/8,96.701157,726.640015,118.389999,728.280029,50.500992
2016/6/7,96.789108,723.73999,117.760002,716.650024,50.559216
2016/6/6,96.398163,726.72998,118.790001,716.549988,50.588333
2016/6/3,95.704224,725.539978,118.470001,722.340027,50.258389
2016/6/2,95.508759,728.23999,118.93,730.400024,50.927979
2016/6/1,96.232025,719.440002,118.779999,734.150024,51.287037
2016/5/31,97.600334,722.789978,118.809998,735.719971,51.432602
2016/5/27,98.079239,712.23999,119.379997,732.659973,50.772713
2016/5/26,98.137901,714.909973,119.470001,724.119995,50.355423
2016/5/25,97.365761,708.349976,117.889999,725.27002,50.578625
2016/5/24,95.684692,704.200012,117.699997,720.090027,50.064304
2016/5/23,94.24794,696.75,115.970001,704.23999,48.550438
2016/5/20,93.065338,702.799988,117.349998,709.73999,49.122993
2016/5/19,92.068405,698.52002,116.809998,700.320007,48.83186
2016/5/18,92.420265,697.450012,117.650002,706.630005,49.307365
2016/5/17,91.374474,695.27002,117.349998,706.22998,49.016239
2016/5/16,91.755653,710.659973,118.669998,716.48999,49.947849
2016/5/13,88.47168,709.919983,119.809998,710.830017,49.22509
2016/5/12,88.295753,717.929993,120.279999,713.309998,49.639469
2016/5/11,90.416656,713.22998,119.519997,715.289978,49.196171
2016/5/10,91.306053,703.070007,120.5,723.179993,49.167263
2016/5/9,90.690315,679.75,119.239998,712.900024,48.251762
2016/5/6,90.621895,673.950012,119.489998,711.119995,48.560143
2016/5/5,91.130135,659.090027,117.809998,701.429993,48.12648
2016/5/4,91.501541,670.900024,118.059998,695.700012,48.059025
2016/5/3,92.46328,671.320007,117.43,692.359985,47.972294
2016/5/2,90.967239,683.849976,118.57,698.210022,48.772156
2016/4/29,91.064392,659.590027,117.580002,693.01001,48.059025
2016/4/28,92.123268,602,116.730003,691.02002,48.087933
2016/4/27,95.027931,606.570007,108.889999,705.840027,49.090164
2016/4/26,101.371529,616.880005,108.760002,708.140015,49.572006
2016/4/25,102.080704,626.200012,110.099998,723.150024,50.217686
2016/4/22,102.663574,620.5,110.559998,718.77002,49.899666
2016/4/21,102.945305,631,113.440002,759.140015,53.754406
2016/4/20,104.072182,632.98999,112.419998,752.669983,53.571312
2016/4/19,103.858475,627.900024,112.290001,753.929993,54.342258
2016/4/18,104.412193,635.349976,110.449997,766.609985,54.409718
2016/4/15,106.714546,625.890015,109.639999,759,53.629135
